date,isEdited,userName,review,rating,title,developerResponse
2019-05-30 00:26:45,False,곰돌이푸우야,수면시간이 규칙적이게되어 좋아요!,5,추천해요!,
2021-01-13 12:09:03,False,미림도,수면 규칙도 가지게 되고 넘 이뿜,5,저아요,
2021-03-14 23:27:35,False,자자벌레,핸드폰 보는 습관도 줄이고 너무 좋아요,4,만족,
2021-03-24 03:24:27,False,뀨큐큐큐뀨,"못 없애면 포레스트처럼 그룹 가입하면 못하게 하거나요..
효과가 하나도 없어요..",1,엄격한 모드 해제 못하게 해주세요,"{'id': 21901728, 'body': 'Hi, sorry for the problem caused. Could you please contact us via in-app feedback and tell us more details about the problem? Please also let us know your phone model and app version. Please provide screenshots/videos showing the problem if you can. Thank you!\n', 'modified': '2021-03-27T22:11:28Z'}"
2019-05-13 05:10:56,False,여우팽팽,맨날 폰하다가 늦게잤는데 조아요><,5,좋아뇨!!!,
2019-04-01 21:59:05,False,루톰,예쁜 건물들도 많고 수면 습관 만드는 데 좋아요!,5,넘 좋아요,
2022-10-11 21:01:13,False,썬믠,좋아요‘,4,잘때 핸드폰을 안 만질 수 있어서 좋아요!,
2019-01-17 22:48:12,False,꽁 승,건물 모으는 맛도있고 잠습관 고치는데 최고인것 같아요!,5,잠습관 고치는데 최고에요!,
2021-06-04 03:46:48,False,leemj7724,"건물 모으는 재미가 쏠쏠,,",5,좋아요!,
2019-07-18 08:04:17,False,뿌우웅빠앙,집짓고 꾸미기 때문에 잘 잠드는거같아요!,5,좋아요,
2020-02-11 01:53:24,True,wit9760,..,1,건물 하나남있는데 탭해서 따위에 올려놓았는데 해당형태의 건물이 부족합니다.라고 뜹니다.,"{'id': 10520057, 'body': 'Hi,\r\nCould you please contact us via the in-app feedback system so that we can investigate the problem further? Thank you and sorry for any inconvenience caused.\n- SleepTown', 'modified': '2020-02-11T01:53:24Z'}"
2020-08-16 17:55:10,False,뚜뚜빠빠,결제 취소하려는데 어떻게하면되나요,5,취소,
2020-09-06 15:06:22,False,재미지다아아,기대됩니다,5,방금 설치했어요,
2019-04-24 12:31:06,False,총씨,언제까지 할 지는 두고봐야겠지만…,4,재미있는 거 같아요,
2020-10-25 15:51:02,False,스티커오류,위젯 기능 원합니다!!!!,5,위젯 기능 만들어주셐요!!!,
2019-04-12 03:05:46,False,carryon112,Treehouse 어떻게 다운받나요 ?,3,Forest 앱에서 보고 왔는데요,
2019-04-02 04:37:46,False,jhhi0210,수면 습관 기르는데 정말 좋은더 같습니다,5,좋아용,
2018-11-30 23:58:46,False,ㅇㅇㅋㅋㅋㅋㅋㅁㅇㄴㅈㅋ,집 짓겠다는 생각에 자연스럽게 자러가게되네요.,5,안자려다가도,
2019-05-29 02:59:38,False,돈없다ㅏㅏ,내가 안함 하하...,5,겁나 좋은 앱이지만,
2019-05-11 23:19:05,False,김서방도깨비,잠을 자는데 집이 지어져요!,5,최고의 어플,
2019-06-10 09:47:03,False,y_u_ng,스타파운틴 받을라고 써요 넘 귀여움,5,귀여운앱,
2019-07-13 16:10:18,False,노랑나비흰나비,건물이 뭐나올까 일어나는 재미가 있어요 ㅎㅎ,5,재밌어요,
2019-05-09 07:58:00,False,시발라,ㅎㅎ,5,포레스트 이용하다가 다운받아봤어요,
2019-04-10 14:21:30,False,bnl333,정말 기가막힙니다 완벽한 기상습관 어플,5,아,
2021-07-25 15:34:04,False,5COTTON22,규칙적인 생활을 도와줍니다,5,좋아요,
2019-04-09 21:22:05,False,피아테,꾸준히 쓰면 코인 많이 모이고 재밌네요,5,좋아요,
2020-04-03 05:33:22,False,Sja놈,한달동안 재밌게 하고 있어요~,5,재밌어요,
2019-04-10 00:00:41,False,wowasdubytw,켜놓고 딴짓만 안한다면ㅋㅋㅋㅋ,4,친구들과 같이 하기 좋아요,
2018-10-27 20:02:34,False,아이스구름,효과가 정말 좋습니다!!!,5,정말 상상이상의 최고의 앱,
2020-03-16 16:49:03,False,00쭈꾸,오늘 구매했는데 생각했던 느낌이 아니라 혹시 환불되나요?,1,환불해주세요!,
2019-05-28 11:48:18,False,졸귀꽃,포레스트에서넘어와써용,5,예뻐요,
2019-05-21 13:40:58,False,갱샙,잠에 일찍 들수있어서 참좋네요 ㅎ,5,아주 좋아요 !!,
2019-05-06 12:59:45,False,ws♡,수면 타입 개선에 도움이 됩니다,5,좋아요,
2019-04-05 09:22:32,False,망쥬ㅋㅋㅋ,건물지으려고 핸드폰 안하게 되는,5,좋아요,
2021-07-27 01:01:42,False,만두더쿠곰,밤에 핸드폰 안하게 되서 좋네요,5,굿굿,
2020-04-09 00:05:02,False,꼼지이,덕분에 맨날 일찍 일어나고 있어용,5,좋아요,
2019-04-07 00:28:13,False,제리95,밤에 일찍 자기 시작했어요,5,너무좋아요,
2019-04-01 22:50:36,False,csiu123,서클기능 기용해서 사람들이랑 같이하니 좋음,5,좋음,
2019-06-26 23:31:07,False,Añng,규칙적인 생활하는데 도움되요,5,좋아요,
2019-05-01 21:59:09,False,굳이넴,취침시간 규칙적 유지에 도움,5,좋습니다,
2021-01-16 13:03:48,False,JHinSeoul,수면습관을 위한 최고의 앱,5,강추,
2021-02-22 21:29:07,False,이카잉,"수면의 양, 질 향상에 최고입니다",5,최고,
2020-06-04 22:51:19,False,댜우이야,계속 사용해볼게요!,5,좋아요,
2019-04-07 20:07:42,False,히이옷스,ㅈㄱㄴ,5,덕분에 수면시간관리 잘되요,
2019-04-09 02:16:36,False,그리지영,"뭐나올지매일 잠자며 기대되고
수면습관 기르기도 좋고
규칙적인 잠으로 건물을 얻는다니
너무 신박하고 좋음
다만 설명이 자세하지 않아서
아직도 마을꾸미는 방법을 잘 모르겠음",4,그래픽이 예쁘고 수면습관에 좋아요,
2019-04-02 23:59:04,False,원수원,유용하게 잘 사용하고 있습니다!,5,잘 사용하고 있습니다,
2020-07-02 04:13:56,False,Billion_k,좋아,5,잠탱이한테 유용합니다,
2019-05-13 22:40:27,False,ㅅㅈㅅㅈㅅㅈㅅㅈㅅㅈㅅ,흔들고 다시 자기도 함ㅋㅌㅋㅋ,5,재밌어요,
2019-07-10 21:27:07,False,초매미,확실히 일찍자게됨,5,너무 귀여우ㅕ요,
2022-05-03 07:14:27,False,아통어어나ㅡㅌㅌ,포레스트 처럼 위젯 만들어 주세요 ㅠㅠ,4,위젯,
2019-04-02 02:27:56,False,zz193155,예쁜 건물들이 많아서 빨리 짓고싶네요,4,좋음,
2019-08-02 11:57:54,False,밍밍크,돈없으면 집을 뿌시지더 못한다니 ㅠ,2,지키기 너무 어려워요,"{'id': 10188687, 'body': ""Hi, you can earn coins by sticking with your goal and keeping a regular sleep schedule. That's the core of the app. :) - SleepTown"", 'modified': '2019-08-15T19:25:59Z'}"
2019-05-21 15:02:58,False,이앱좋탘ㅋㅋㅋㅋ,건물 모으는 재미가 쏠쏠해요,5,좋아요,
2019-05-05 14:16:09,False,쿠키쿠킿,이게 뭐라고 집 안 뿌실려고 핸드폰 말고 노트북 가지고 놉니다ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,4,귀여워요,
2019-04-12 00:53:39,False,나느우어ㅑ,다만 일주일 내내 같은 시간으로만 설정해야된다는게 아쉽네요,3,굿,
2019-07-20 23:04:27,False,춘득박,게임 느낌이 좋네요,5,귀여운 맛,
2019-05-29 15:53:28,False,토너어으어,잠자는 숩관 기루는데 도움됩니더,5,좋아요,
2019-04-08 15:06:42,False,슬ㄹ링,정해진 시간안에 자게 해서 좋아요,5,잠을 자고자해요,
2019-04-22 21:48:28,False,숙명인,폰에 손 안대니까 자게 돼요,4,잠 안자는 습관 고치기에 좋음,
2019-06-19 22:25:05,False,발톤톤이,기대중이에오 건물주세오,5,써보는중,
2019-04-20 07:19:01,False,복치사망중입니다,자기 전 휴대폰 안 쓰게 되네요ㅎㅎ,5,잘 자볼게요,
2019-04-04 22:00:31,False,괴도겨털,다른 앱보다 훨씬 잘 일어납니다,5,확실한 수면 앱,
2022-09-19 22:01:01,False,베리베리굿 굿 굿 굿 굿,모으기 중독,5,재미나요,
2019-04-03 10:38:37,False,Damvictoria,강제로 일어나서 좋아요,5,재밌다!!!!,
2019-05-21 07:41:08,False,abdhfhr,수면에 도움이 됩니다,5,좋아요,
2019-02-16 16:31:58,True,복실이213,"저도 앱 깔았는데 treehouse안받아졌어요
앱 환불해주세요 빨리요
빨리 환불처리해주세요",1,안받아져요,"{'id': 7216178, 'body': 'Hi,\nplease do contact us via our in-app feedback system so that we could help you resolved the problem! (We could only help you redeem the tree house through your registered account, so please contact us so that we could help you!) :) SleepTown', 'modified': '2019-02-16T16:31:58Z'}"
2019-05-23 02:59:27,False,이용자1839,좋아요,5,포레스트에서 넘어왔어요!!,
2019-04-24 07:58:05,False,bbodoo,집지어지는게 은근 동기부여 됩니다,4,좋네욤,
2019-04-02 22:33:21,False,겨울순록,건물디자인이 너무예뻐요!,5,좋아요!,
2019-04-14 11:20:03,False,I am coolguy,도움이 되네요,5,좋습니다,
2019-05-15 07:11:35,False,서일이삼사,사용하기 편해요! 밧데리 소모도 적네요,4,편해요,
2019-04-03 20:48:05,False,나갱쓰98,규칙적인 수면리듬을 맞춰줘서 좋아요!,5,짱,
2019-04-07 20:01:51,False,하아우러앋,마을 꾸미는 게 상당히 귀여워요,5,귀여워요,
2019-05-09 03:58:07,False,토토로회색,규칙적인 생활하기에 좋아요,5,ㅐ,
2019-05-29 14:39:01,False,아앵스,오늘 처음 사용해보려는데 설레요~~,4,처음,
2019-04-28 17:25:49,False,췍 암더코리안 힙합모범 노블레ㅆ,테마가 깔끔하고 예뻐요,5,좋아요,
2020-04-30 23:34:53,False,dotorrii,취침시간 지키게되서 좋아요!!,5,좋아요!!,
